dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.0,0.0,0.0,200.000000001,0.0,0.0,0.0,200.000000001,0.0,0.0,0.0,200.000000001,70.33152921589055,13.072694695717194,-0.6571818112046127,13.072694695717194,93.90959187255523,8.62178638993707,-0.6571818112046127,8.62178638993707,15.88766513749613
-1.2804790716636205e-07,5.2747083182027485e-08,9.906568981810082e-09,200.01920690883026,0.009245386004435014,0.0019229731678193907,0.009245386004435014,199.9486211162278,-0.01871868263242767,0.0019229731678193907,-0.01871868263242767,199.9447097975379,70.32522261808734,13.06592116491189,-0.6520644434452006,13.06592116491189,93.89200276584307,8.6249487553153,-0.6520644434452006,8.6249487553153,15.886979456417947
-5.115048818948864e-07,2.1130963191519196e-07,3.971177522932301e-08,200.0384178063592,0.01848520928756602,0.003842930734475581,0.01848520928756602,199.89723892210714,-0.03742632890626784,0.003842930734475581,-0.03742632890626784,199.88948333028551,70.31890873949482,13.059141184653239,-0.6469419437535314,13.059141184653239,93.87439594771148,8.628113505421485,-0.6469419437535314,8.628113505421485,15.886294594079564
-1.149342083062166e-06,4.7616899982353115e-07,8.954405601724336e-08,200.057632694888,0.027719460949489644,0.005759870970553482,0.027719460949489644,199.84585341996717,-0.05612292664093879,0.005759870970553482,-0.05612292664093879,199.8343206417354,70.31258757626539,13.052354756174864,-0.6418143120180281,13.052354756174864,93.85677141655268,8.631280638011459,-0.6418143120180281,8.631280638011459,15.885610555908093
-2.0405323752914484e-06,8.478057461262196e-07,1.5953210001640183e-07,200.07685157571422,0.036948132082858166,0.007673792152313792,0.036948132082858166,199.79446461113952,-0.07480846366016565,0.007673792152313792,-0.07480846366016565,199.7792217742789,70.30625912456122,13.045561880734281,-0.6366815481424211,13.045561880734281,93.83912917080383,8.634450150829768,-0.6366815481424211,8.634450150829768,15.884927347343972
-3.184050330173882e-06,1.3266996344900133e-06,2.498048475157999e-07,200.09607445013148,0.04617121377288618,0.009584692561712412,0.04617121377288618,199.74307249695795,-0.0934829277920259,0.009584692561712412,-0.0934829277920259,199.7241867702058,70.2999233805544,13.038762559612934,-0.6315436520457787,13.038762559612934,93.82146920894675,8.637622041609651,-0.6315436520457787,8.637622041609651,15.884244973840982
-4.578872226934649e-06,1.9133296318701976e-06,3.6049149063077657e-07,200.11530131942956,0.055388697097357255,0.01149257048641985,0.055388697097357255,199.69167707875891,-0.11214630686899504,0.01149257048641985,-0.11214630686899504,199.66921567170397,70.29358034042666,13.031956794116224,-0.6264006236625338,13.031956794116224,93.80379152950799,8.640796308073037,-0.6264006236625338,8.640796308073037,15.883563440866256
-6.223976053876257e-06,2.6081739073400314e-06,4.917214735528086e-07,200.1345321848945,0.0646005731266308,0.01339742421984068,0.0646005731266308,199.64027835788107,-0.13079858872799224,0.01339742421984068,-0.13079858872799224,199.61430852085897,70.28723000036972,13.025144585573626,-0.6212524629425432,13.025144585573626,93.78609613105937,8.64397294793055,-0.6212524629425432,8.64397294793055,15.882882753900294
-8.118341509044669e-06,3.4117098309086823e-06,6.436244927437995e-07,200.1537670478084,0.07380683292364873,0.01529925206113296,0.07380683292364873,199.58887633566547,-0.14943976121042604,0.01529925206113296,-0.14943976121042604,199.55946535965373,70.28087235658508,13.018325935338643,-0.6160991698510827,13.018325935338643,93.7683830122174,8.647151958881494,-0.6160991698510827,8.647151958881494,15.882202918436944
-1.0260950001228508e-05,4.324413972327647e-06,8.163304971581242e-07,200.17300590944944,0.08300746754394238,0.017198052315227693,0.08300746754394238,199.53747101345576,-0.16806981216224018,0.017198052315227693,-0.16806981216224018,199.50468622996817,70.2745074052843,13.011500844788928,-0.6109407443689009,13.011500844788928,93.7506521716439,8.650333338613862,-0.6109407443689009,8.650333338613862,15.88152393998346
